decile,n_transactions,min_score,max_score,fraud_count,fraud_amount,pct_of_total_fraud_count,pct_of_total_fraud_amount,cumulative_fraud_count_pct,cumulative_fraud_amount_pct,lift
1,5697,0.0026173177175223827,0.9999817609786987,94,10607.7,95.91836734693877,99.65025603738118,95.91836734693877,99.65025603738118,9.590489803082896
2,5696,0.0009602504433132708,0.0026171470526605844,1,1.79,1.0204081632653061,0.01681551687047261,96.93877551020408,99.66707155425166,0.1020443992203623
3,5696,0.0004861349007114768,0.0009600281482562423,2,34.44,2.0408163265306123,0.3235343022452942,98.9795918367347,99.99060585649696,0.2040887984407246
4,5696,0.0002815488842315972,0.00048611382953822613,0,0.0,0.0,0.0,98.9795918367347,99.99060585649696,0.0
5,5696,0.00017221567395608872,0.00028153409948572516,1,1.0,1.0204081632653061,0.009394143503057324,100.0,100.00000000000003,0.1020443992203623
6,5696,0.00010707353794714436,0.00017221255984622985,0,0.0,0.0,0.0,100.0,100.00000000000003,0.0
7,5696,6.633322482230142e-05,0.00010707210458349437,0,0.0,0.0,0.0,100.0,100.00000000000003,0.0
8,5696,3.8407142710639164e-05,6.6328291723039e-05,0,0.0,0.0,0.0,100.0,100.00000000000003,0.0
9,5696,1.9025472283829004e-05,3.840183126158081e-05,0,0.0,0.0,0.0,100.0,100.00000000000003,0.0
10,5697,4.872241561315604e-07,1.902258736663498e-05,0,0.0,0.0,0.0,100.0,100.00000000000003,0.0
